Simulation,Waveform Fatal Count,Waveform Quality Count,Waveform Overshoot Count,Power (W),VinMeas Margin,Node VM,Time VM (ns),Min Slew Time (ns),Node MnS,Time MnS (ns),Max Slew Time (ns),Node MxS,Time MxS (ns),VinH Margin (V),Node VHM,Time VHM (ns),VinL Margin (V),Node VLM,Time VLM (ns),Overshoot Low Margin (V),Node OLM,Time OLM (ns),Overshoot High Margin (V),Node OHM,Time OHM (ns),AC Overshoot Low Area Margin (V*ns),Node ACOLAM,Time ACOLAM (ns),AC Overshoot High Area Margin (V*ns),Node ACOHAM,Time ACOHAM (ns),Non Monotonic Time (ns),Node NMT,Time NMT (ns),Eye Width (ns),Node EW,Virtual Eye Width (ns),Node VEW,VinMeas Jitter (ns),Node EJ,Eye Inner Height (V),Node EIH,Eye Outer Height (V),Node EOH,TRANSFER_NET,SIMULATOR,DRIVER,AC_NOISE,AC_NOISE_SOURCE,AGGRESSORS,CORNER,$T1:DELAY,UI,PATTERN
designator1_ssse_2\designator1_ssse_2.csd,0,0,0,NA,0.842,designator2_pad,30.149,0.713,designator2_pad,92.875,1.086,designator2_pad,22.872,1.374,designator2_pad,135.376,1.123,designator2_pad,105.579,,,,,,,,,,,,,,,,8.913,designator2_pad,8.913,designator2_pad,0.132,designator2_pad,2.956,designator2_pad,3.700,designator2_pad,CS,IsSpice4,designator1,0.000,tnet,0,SSSE,2in,10n,default_clock
designator1_ssse_3\designator1_ssse_3.csd,0,0,0,NA,0.876,designator2_pad,111.496,0.734,designator2_pad,53.045,1.019,designator2_pad,123.104,1.490,designator2_pad,95.769,1.163,designator2_pad,126.114,,,,,,,,,,,,,,,,8.921,designator2_pad,8.921,designator2_pad,0.092,designator2_pad,2.893,designator2_pad,3.856,designator2_pad,CS,IsSpice4,designator1,0.000,tnet,0,SSSE,3in,10n,default_clock
designator1_ssse_4\designator1_ssse_4.csd,0,0,0,NA,0.838,designator2_pad,91.794,0.743,designator2_pad,133.174,0.901,designator2_pad,123.238,1.578,designator2_pad,135.982,1.204,designator2_pad,66.367,,,,,,,,,,,,,,,,9.035,designator2_pad,9.035,designator2_pad,0.137,designator2_pad,2.865,designator2_pad,3.985,designator2_pad,CS,IsSpice4,designator1,0.000,tnet,0,SSSE,4in,10n,default_clock
designator1_ssse_5\designator1_ssse_5.csd,0,0,0,NA,0.827,designator2_pad,48.789,0.736,designator2_pad,53.362,0.891,designator2_pad,63.394,1.671,designator2_pad,156.559,1.283,designator2_pad,46.662,,,,,,,,,,,,,,,,9.077,designator2_pad,9.077,designator2_pad,0.086,designator2_pad,2.926,designator2_pad,4.158,designator2_pad,CS,IsSpice4,designator1,0.000,tnet,0,SSSE,5in,10n,default_clock
designator1_ssse_6\designator1_ssse_6.csd,0,0,0,NA,0.879,designator2_pad,29.037,0.686,designator2_pad,133.629,0.827,designator2_pad,63.636,1.752,designator2_pad,137.007,1.347,designator2_pad,87.184,,,,,,,,,,,,,,,,9.164,designator2_pad,9.164,designator2_pad,0.065,designator2_pad,3.060,designator2_pad,4.302,designator2_pad,CS,IsSpice4,designator1,0.000,tnet,0,SSSE,6in,10n,default_clock
designator1_fffe_2\designator1_fffe_2.csd,0,0,0,NA,0.979,designator2_pad,26.940,0.287,designator2_pad,141.782,0.322,designator2_pad,31.700,2.522,designator2_pad,53.128,1.680,designator2_pad,123.019,,,,,,,,,,,,,,,,9.631,designator2_pad,9.631,designator2_pad,0.065,designator2_pad,3.610,designator2_pad,5.404,designator2_pad,CS,IsSpice4,designator1,0.000,tnet,0,FFFE,2in,10n,default_clock
designator1_fffe_3\designator1_fffe_3.csd,0,0,0,NA,1.058,designator2_pad,87.911,0.311,designator2_pad,61.916,0.337,designator2_pad,91.842,2.641,designator2_pad,93.394,1.732,designator2_pad,103.271,,,,,,,,,,,,,,,,9.615,designator2_pad,9.615,designator2_pad,0.056,designator2_pad,3.026,designator2_pad,5.576,designator2_pad,CS,IsSpice4,designator1,0.000,tnet,0,FFFE,3in,10n,default_clock
designator1_fffe_4\designator1_fffe_4.csd,0,0,0,NA,1.053,designator2_pad,49.615,0.299,designator2_pad,22.114,0.313,designator2_pad,52.037,2.728,designator2_pad,53.793,1.788,designator2_pad,63.537,,,,,,,,,,,,,,,,9.622,designator2_pad,9.622,designator2_pad,0.070,designator2_pad,2.655,designator2_pad,5.718,designator2_pad,CS,IsSpice4,designator1,0.000,tnet,0,FFFE,4in,10n,default_clock
designator1_fffe_5\designator1_fffe_5.csd,0,0,0,NA,1.056,designator2_pad,90.856,0.304,designator2_pad,22.286,0.327,designator2_pad,152.188,2.764,designator2_pad,114.149,1.789,designator2_pad,23.938,,,,,,,,,,,,,,,,9.596,designator2_pad,9.596,designator2_pad,0.085,designator2_pad,2.587,designator2_pad,5.757,designator2_pad,CS,IsSpice4,designator1,0.000,tnet,0,FFFE,5in,10n,default_clock
designator1_fffe_6\designator1_fffe_6.csd,0,0,0,NA,0.928,designator2_pad,111.656,0.302,designator2_pad,22.403,0.319,designator2_pad,52.326,2.764,designator2_pad,134.593,1.799,designator2_pad,104.427,,,,,,,,,,,,,,,,9.620,designator2_pad,9.620,designator2_pad,0.065,designator2_pad,2.577,designator2_pad,5.765,designator2_pad,CS,IsSpice4,designator1,0.000,tnet,0,FFFE,6in,10n,default_clock
designator1_ssse_2\designator1_ssse_2.csd,0,0,0,NA,0.833,designator2_pad,51.277,0.596,designator2_pad,92.574,0.830,designator2_pad,32.538,1.393,designator2_pad,54.477,1.126,designator2_pad,84.665,,,,,,,,,,,,,,,,9.171,designator2_pad,9.171,designator2_pad,0.020,designator2_pad,3.138,designator2_pad,3.721,designator2_pad,DQ,IsSpice4,designator1,0.000,tnet,0,SSSE,2in,10n,default_data
designator1_ssse_3\designator1_ssse_3.csd,0,0,0,NA,0.835,designator2_pad,51.458,0.587,designator2_pad,72.758,0.708,designator2_pad,82.735,1.496,designator2_pad,94.813,1.183,designator2_pad,64.914,,,,,,,,,,,,,,,,9.286,designator2_pad,9.286,designator2_pad,0.029,designator2_pad,2.985,designator2_pad,3.885,designator2_pad,DQ,IsSpice4,designator1,0.000,tnet,0,SSSE,3in,10n,default_data
designator1_ssse_4\designator1_ssse_4.csd,0,0,0,NA,0.833,designator2_pad,51.648,0.565,designator2_pad,73.005,0.737,designator2_pad,32.938,1.604,designator2_pad,55.168,1.256,designator2_pad,35.377,,,,,,,,,,,,,,,,9.278,designator2_pad,9.278,designator2_pad,0.037,designator2_pad,2.783,designator2_pad,4.070,designator2_pad,DQ,IsSpice4,designator1,0.000,tnet,0,SSSE,4in,10n,default_data
designator1_ssse_5\designator1_ssse_5.csd,0,0,0,NA,0.836,designator2_pad,51.848,0.589,designator2_pad,53.160,0.770,designator2_pad,83.144,1.690,designator2_pad,95.545,1.310,designator2_pad,35.879,,,,,,,,,,,,,,,,9.230,designator2_pad,9.230,designator2_pad,0.048,designator2_pad,2.714,designator2_pad,4.209,designator2_pad,DQ,IsSpice4,designator1,0.000,tnet,0,SSSE,5in,10n,default_data
designator1_ssse_6\designator1_ssse_6.csd,0,0,0,NA,0.862,designator2_pad,43.657,0.583,designator2_pad,53.367,0.792,designator2_pad,63.252,1.745,designator2_pad,75.894,1.349,designator2_pad,66.301,,,,,,,,,,,,,,,,9.180,designator2_pad,9.180,designator2_pad,0.093,designator2_pad,2.691,designator2_pad,4.323,designator2_pad,DQ,IsSpice4,designator1,0.000,tnet,0,SSSE,6in,10n,default_data
designator1_fffe_2\designator1_fffe_2.csd,0,0,0,NA,0.838,designator2_pad,50.866,0.233,designator2_pad,81.544,0.253,designator2_pad,91.519,2.556,designator2_pad,92.474,1.470,designator2_pad,62.373,,,,,,,,,,,,,,,,9.738,designator2_pad,9.738,designator2_pad,0.011,designator2_pad,3.135,designator2_pad,5.227,designator2_pad,DQ,IsSpice4,designator1,0.000,tnet,0,FFFE,2in,10n,default_data
designator1_fffe_3\designator1_fffe_3.csd,0,0,0,NA,0.845,designator2_pad,42.826,0.232,designator2_pad,81.704,0.253,designator2_pad,51.678,2.681,designator2_pad,52.856,1.519,designator2_pad,32.686,,,,,,,,,,,,,,,,9.739,designator2_pad,9.739,designator2_pad,0.009,designator2_pad,3.289,designator2_pad,5.404,designator2_pad,DQ,IsSpice4,designator1,0.000,tnet,0,FFFE,3in,10n,default_data
designator1_fffe_4\designator1_fffe_4.csd,0,0,0,NA,0.889,designator2_pad,42.083,0.236,designator2_pad,31.864,0.254,designator2_pad,51.839,2.740,designator2_pad,53.235,1.535,designator2_pad,63.115,,,,,,,,,,,,,,,,9.734,designator2_pad,9.734,designator2_pad,0.016,designator2_pad,3.414,designator2_pad,5.484,designator2_pad,DQ,IsSpice4,designator1,0.000,tnet,0,FFFE,4in,10n,default_data
designator1_fffe_5\designator1_fffe_5.csd,0,0,0,NA,0.907,designator2_pad,44.112,0.234,designator2_pad,82.018,0.266,designator2_pad,92.012,2.757,designator2_pad,93.667,1.543,designator2_pad,33.592,,,,,,,,,,,,,,,,9.722,designator2_pad,9.722,designator2_pad,0.022,designator2_pad,2.909,designator2_pad,5.506,designator2_pad,DQ,IsSpice4,designator1,0.000,tnet,0,FFFE,5in,10n,default_data
designator1_fffe_6\designator1_fffe_6.csd,0,0,0,NA,0.913,designator2_pad,46.242,0.236,designator2_pad,32.192,0.267,designator2_pad,92.172,2.773,designator2_pad,54.130,1.542,designator2_pad,64.070,,,,,,,,,,,,,,,,9.695,designator2_pad,9.695,designator2_pad,0.059,designator2_pad,2.507,designator2_pad,5.540,designator2_pad,DQ,IsSpice4,designator1,0.000,tnet,0,FFFE,6in,10n,default_data
designator1_ssse_2\designator1_ssse_2.csd,0,0,0,NA,0.841,designator2_pad,91.177,0.576,designator2_pad,52.461,0.804,designator2_pad,32.401,1.349,designator2_pad,54.163,1.109,designator2_pad,34.291,,,,,,,,,,,,,,,,9.197,designator2_pad,9.197,designator2_pad,0.004,designator2_pad,3.100,designator2_pad,3.660,designator2_pad,DQM,IsSpice4,designator1,0.000,tnet,0,SSSE,2in,10n,default_data
designator1_ssse_3\designator1_ssse_3.csd,0,0,0,NA,0.844,designator2_pad,51.373,0.584,designator2_pad,52.654,0.727,designator2_pad,62.618,1.447,designator2_pad,54.533,1.159,designator2_pad,64.628,,,,,,,,,,,,,,,,9.272,designator2_pad,9.272,designator2_pad,0.003,designator2_pad,3.145,designator2_pad,3.807,designator2_pad,DQM,IsSpice4,designator1,0.000,tnet,0,SSSE,3in,10n,default_data
designator1_ssse_4\designator1_ssse_4.csd,0,0,0,NA,0.845,designator2_pad,51.582,0.558,designator2_pad,72.862,0.716,designator2_pad,32.814,1.557,designator2_pad,74.929,1.231,designator2_pad,85.097,,,,,,,,,,,,,,,,9.283,designator2_pad,9.283,designator2_pad,0.013,designator2_pad,2.895,designator2_pad,3.991,designator2_pad,DQM,IsSpice4,designator1,0.000,tnet,0,SSSE,4in,10n,default_data
designator1_ssse_5\designator1_ssse_5.csd,0,0,0,NA,0.845,designator2_pad,51.782,0.571,designator2_pad,93.087,0.732,designator2_pad,33.012,1.650,designator2_pad,55.222,1.293,designator2_pad,35.592,,,,,,,,,,,,,,,,9.267,designator2_pad,9.267,designator2_pad,0.042,designator2_pad,2.735,designator2_pad,4.157,designator2_pad,DQM,IsSpice4,designator1,0.000,tnet,0,SSSE,5in,10n,default_data
designator1_ssse_6\designator1_ssse_6.csd,0,0,0,NA,0.844,designator2_pad,51.989,0.574,designator2_pad,53.244,0.777,designator2_pad,63.191,1.721,designator2_pad,75.584,1.336,designator2_pad,36.112,,,,,,,,,,,,,,,,9.223,designator2_pad,9.223,designator2_pad,0.036,designator2_pad,2.684,designator2_pad,4.276,designator2_pad,DQM,IsSpice4,designator1,0.000,tnet,0,SSSE,6in,10n,default_data
designator1_fffe_2\designator1_fffe_2.csd,0,0,0,NA,0.858,designator2_pad,50.794,0.220,designator2_pad,81.453,0.242,designator2_pad,51.427,2.435,designator2_pad,52.279,1.602,designator2_pad,32.312,,,,,,,,,,,,,,,,9.754,designator2_pad,9.754,designator2_pad,0.010,designator2_pad,3.377,designator2_pad,5.247,designator2_pad,DQM,IsSpice4,designator1,0.000,tnet,0,FFFE,2in,10n,default_data
designator1_fffe_3\designator1_fffe_3.csd,0,0,0,NA,0.861,designator2_pad,50.980,0.221,designator2_pad,31.612,0.247,designator2_pad,51.588,2.628,designator2_pad,52.660,1.745,designator2_pad,62.465,,,,,,,,,,,,,,,,9.752,designator2_pad,9.752,designator2_pad,0.003,designator2_pad,3.041,designator2_pad,5.583,designator2_pad,DQM,IsSpice4,designator1,0.000,tnet,0,FFFE,3in,10n,default_data
designator1_fffe_4\designator1_fffe_4.csd,0,0,0,NA,0.873,designator2_pad,43.180,0.222,designator2_pad,81.787,0.244,designator2_pad,51.753,2.691,designator2_pad,73.073,1.818,designator2_pad,62.901,,,,,,,,,,,,,,,,9.759,designator2_pad,9.759,designator2_pad,0.019,designator2_pad,3.269,designator2_pad,5.717,designator2_pad,DQM,IsSpice4,designator1,0.000,tnet,0,FFFE,4in,10n,default_data
designator1_fffe_5\designator1_fffe_5.csd,0,0,0,NA,0.873,designator2_pad,45.605,0.221,designator2_pad,81.915,0.247,designator2_pad,91.893,2.729,designator2_pad,53.508,1.847,designator2_pad,33.409,,,,,,,,,,,,,,,,9.733,designator2_pad,9.733,designator2_pad,0.030,designator2_pad,3.627,designator2_pad,5.798,designator2_pad,DQM,IsSpice4,designator1,0.000,tnet,0,FFFE,5in,10n,default_data
designator1_fffe_6\designator1_fffe_6.csd,0,0,0,NA,0.953,designator2_pad,43.531,0.218,designator2_pad,62.092,0.246,designator2_pad,52.077,2.749,designator2_pad,53.757,1.864,designator2_pad,33.851,,,,,,,,,,,,,,,,9.752,designator2_pad,9.752,designator2_pad,0.009,designator2_pad,2.438,designator2_pad,5.831,designator2_pad,DQM,IsSpice4,designator1,0.000,tnet,0,FFFE,6in,10n,default_data
designator1_ssse_2\designator1_ssse_2.csd,0,0,0,NA,0.821,designator2_pad,111.387,0.991,designator2_pad,32.962,1.208,designator2_pad,83.030,1.207,designator2_pad,101.608,0.821,designator2_pad,111.387,,,,,,,,,,,,,,,,8.724,designator2_pad,8.724,designator2_pad,0.185,designator2_pad,3.120,designator2_pad,3.232,designator2_pad,WE,IsSpice4,designator1,0.000,tnet,0,SSSE,2in,10n,default_clock
designator1_ssse_3\designator1_ssse_3.csd,0,0,0,NA,0.821,designator2_pad,131.576,0.978,designator2_pad,113.152,1.262,designator2_pad,63.216,1.207,designator2_pad,61.807,0.821,designator2_pad,131.576,,,,,,,,,,,,,,,,8.675,designator2_pad,8.675,designator2_pad,0.139,designator2_pad,3.109,designator2_pad,3.231,designator2_pad,WE,IsSpice4,designator1,0.000,tnet,0,SSSE,3in,10n,default_clock
designator1_ssse_4\designator1_ssse_4.csd,0,0,0,NA,0.823,designator2_pad,111.786,0.946,designator2_pad,153.353,1.235,designator2_pad,83.414,1.205,designator2_pad,122.025,0.823,designator2_pad,111.786,,,,,,,,,,,,,,,,8.704,designator2_pad,8.704,designator2_pad,0.112,designator2_pad,3.102,designator2_pad,3.229,designator2_pad,WE,IsSpice4,designator1,0.000,tnet,0,SSSE,4in,10n,default_clock
designator1_ssse_5\designator1_ssse_5.csd,0,0,0,NA,0.823,designator2_pad,51.988,0.934,designator2_pad,113.554,1.197,designator2_pad,43.608,1.201,designator2_pad,62.211,0.823,designator2_pad,51.988,,,,,,,,,,,,,,,,8.749,designator2_pad,8.749,designator2_pad,0.107,designator2_pad,3.082,designator2_pad,3.227,designator2_pad,WE,IsSpice4,designator1,0.000,tnet,0,SSSE,5in,10n,default_clock
designator1_ssse_6\designator1_ssse_6.csd,0,0,0,NA,0.823,designator2_pad,92.196,0.936,designator2_pad,93.752,1.178,designator2_pad,103.795,1.195,designator2_pad,162.438,0.823,designator2_pad,92.196,,,,,,,,,,,,,,,,8.780,designator2_pad,8.780,designator2_pad,0.099,designator2_pad,3.062,designator2_pad,3.222,designator2_pad,WE,IsSpice4,designator1,0.000,tnet,0,SSSE,6in,10n,default_clock
designator1_fffe_2\designator1_fffe_2.csd,0,0,0,NA,0.827,designator2_pad,130.963,0.405,designator2_pad,51.751,0.462,designator2_pad,21.849,1.530,designator2_pad,73.766,0.972,designator2_pad,83.577,,,,,,,,,,,,,,,,9.440,designator2_pad,9.440,designator2_pad,0.086,designator2_pad,3.462,designator2_pad,3.704,designator2_pad,WE,IsSpice4,designator1,0.000,tnet,0,FFFE,2in,10n,default_clock
designator1_fffe_3\designator1_fffe_3.csd,0,0,0,NA,0.827,designator2_pad,51.121,0.404,designator2_pad,31.914,0.466,designator2_pad,102.011,1.611,designator2_pad,33.903,1.090,designator2_pad,23.666,,,,,,,,,,,,,,,,9.437,designator2_pad,9.437,designator2_pad,0.088,designator2_pad,3.437,designator2_pad,3.903,designator2_pad,WE,IsSpice4,designator1,0.000,tnet,0,FFFE,3in,10n,default_clock
designator1_fffe_4\designator1_fffe_4.csd,0,0,0,NA,0.826,designator2_pad,91.288,0.405,designator2_pad,132.078,0.466,designator2_pad,142.172,1.689,designator2_pad,94.176,1.193,designator2_pad,104.006,,,,,,,,,,,,,,,,9.439,designator2_pad,9.439,designator2_pad,0.085,designator2_pad,3.398,designator2_pad,4.084,designator2_pad,WE,IsSpice4,designator1,0.000,tnet,0,FFFE,4in,10n,default_clock
designator1_fffe_5\designator1_fffe_5.csd,0,0,0,NA,0.831,designator2_pad,151.443,0.405,designator2_pad,92.239,0.467,designator2_pad,42.335,1.756,designator2_pad,134.478,1.269,designator2_pad,144.397,,,,,,,,,,,,,,,,9.438,designator2_pad,9.438,designator2_pad,0.085,designator2_pad,3.372,designator2_pad,4.227,designator2_pad,WE,IsSpice4,designator1,0.000,tnet,0,FFFE,5in,10n,default_clock
designator1_fffe_6\designator1_fffe_6.csd,0,0,0,NA,0.838,designator2_pad,51.604,0.407,designator2_pad,92.397,0.467,designator2_pad,142.494,1.803,designator2_pad,94.891,1.319,designator2_pad,144.817,,,,,,,,,,,,,,,,9.435,designator2_pad,9.435,designator2_pad,0.087,designator2_pad,3.351,designator2_pad,4.325,designator2_pad,WE,IsSpice4,designator1,0.000,tnet,0,FFFE,6in,10n,default_clock
